Old,New,Introduced
FileCleanup,GHC.SysTools.FileCleanup,9.0.1
Finder,GHC.Driver.Finder,9.0.1
Fingerprint,GHC.Utils.Fingerprint,9.0.1
FiniteMap,GHC.Data.FiniteMap,9.0.1
ForeignCall,GHC.Types.ForeignCall,9.0.1
Format,GHC.CmmToAsm.Format,9.0.1
FV,GHC.Utils.FV,9.0.1
GHC,GHC,9.0.1
GHC.Hs.Types,GHC.Hs.Type,9.0.1
GHCi,GHC.Runtime.Interpreter,9.0.1
GhcMake,GHC.Driver.Make,9.0.1
GhcMonad,GHC.Driver.Monad,9.0.1
GhcPlugins,GHC.Plugins,9.0.1
GhcPrelude,GHC.Prelude,9.0.1
GraphBase,GHC.Data.Graph.Base,9.0.1
GraphColor,GHC.Data.Graph.Color,9.0.1
GraphOps,GHC.Data.Graph.Ops,9.0.1
GraphPpr,GHC.Data.Graph.Ppr,9.0.1
HeaderInfo,GHC.Parser.Header,9.0.1
HieAst,GHC.Iface.Ext.Ast,9.0.1
HieBin,GHC.Iface.Ext.Binary,9.0.1
HieDebug,GHC.Iface.Ext.Debug,9.0.1
HieTypes,GHC.Iface.Ext.Types,9.0.1
HieUtils,GHC.Iface.Ext.Utils,9.0.1
Hooks,GHC.Driver.Hooks,9.0.1
Hoopl.Block,GHC.Cmm.Dataflow.Block,9.0.1
Hoopl.Collections,GHC.Cmm.Dataflow.Collections,9.0.1
Hoopl.Dataflow,GHC.Cmm.Dataflow,9.0.1
Hoopl.Graph,GHC.Cmm.Dataflow.Graph,9.0.1
Hoopl.Label,GHC.Cmm.Dataflow.Label,9.0.1
HscMain,GHC.Driver.Main,9.0.1
HscTypes,GHC.Driver.Types,9.0.1
Id,GHC.Types.Id,9.0.1
IfaceEnv,GHC.Iface.Env,9.0.1
IfaceSyn,GHC.Iface.Syntax,9.0.1
IfaceType,GHC.Iface.Type,9.0.1
Info,GHC.Types.Id.Info,9.0.1
InstEnv,GHC.Core.InstEnv,9.0.1
Instruction,GHC.CmmToAsm.Instr,9.0.1
InteractiveEval,GHC.Runtime.Eval,9.0.1
InteractiveEvalTypes,GHC.Runtime.Eval.Types,9.0.1
IOEnv,GHC.Data.IOEnv,9.0.1
Json,GHC.Utils.Json,9.0.1
KnownUniques,GHC.Builtin.Uniques,9.0.1
Lexeme,GHC.Utils.Lexeme,9.0.1
Lexer,GHC.Parser.Lexer,9.0.1
Linker,GHC.Runtime.Linker,9.0.1
LinkerTypes,GHC.Runtime.Linker.Types,9.0.1
ListSetOpts,GHC.Data.List.SetOps,9.0.1
Literal,GHC.Types.Literal,9.0.1
Llvm,GHC.Llvm,9.0.1
Llvm.AbsSyn,GHC.Llvm.Syntax,9.0.1
Llvm.MetaData,GHC.Llvm.MetaData,9.0.1
Llvm.PpLlvm,GHC.Llvm.Ppr,9.0.1
Llvm.Types,GHC.Llvm.Types,9.0.1
LlvmCodeGen,GHC.CmmToLlvm,9.0.1
LlvmCodeGen.Base,GHC.CmmToLlvm.Base,9.0.1
LlvmCodeGen.CodeGen,GHC.CmmToLlvm.CodeGen,9.0.1
LlvmCodeGen.Data,GHC.CmmToLlvm.Data,9.0.1
LlvmCodeGen.Ppr,GHC.CmmToLlvm.Ppr,9.0.1
LlvmCodeGen.Regs,GHC.CmmToLlvm.Regs,9.0.1
LlvmMangler,GHC.CmmToLlvm.Mangler,9.0.1
LoadIface,GHC.Iface.Load,9.0.1
Make,GHC.Types.Id.Make,9.0.1
Match,GHC.HsToCore.Match,9.0.1
MatchCon,GHC.HsToCore.Match.Constructor,9.0.1
MatchLit,GHC.HsToCore.Match.Literal,9.0.1
Maybes,GHC.Data.Maybe,9.0.1
MkCore,GHC.Core.Make,9.0.1
MkGraph,GHC.Cmm.Graph,9.0.1
MkIface,GHC.Iface.Make,9.0.1
Module,GHC.Unit.Module,9.0.1
MonadUtils,GHC.Utils.Monad,9.0.1
Name,GHC.Types.Name,9.0.1
NameCache,GHC.Types.Name.Cache,9.0.1
NameEnv,GHC.Types.Name.Env,9.0.1
NameSet,GHC.Types.Name.Set,9.0.1
NameShape,GHC.Types.Name.Shape,9.0.1
NCGMonad,GHC.CmmToAsm.Monad,9.0.1
OccName,GHC.Types.Name.Occurrence,9.0.1
OptCoercion,GHC.Core.Coercion.Opt,9.0.1
OrdList,GHC.Data.OrdList,9.0.1
Outputable,GHC.Utils.Outputable,9.0.1
PackageConfig,GHC.Unit.Info,9.0.1
Packages,GHC.Unit.State,9.0.1
Pair,GHC.Data.Pair,9.0.1
Panic,GHC.Utils.Panic,9.0.1
Parser,GHC.Parser,9.0.1
PatSyn,GHC.Core.PatSyn,9.0.1
PIC,GHC.CmmToAsm.PIC,9.0.1
PipelineMonad,GHC.Driver.Pipeline.Monad,9.0.1
PlainPanic,GHC.Utils.Panic.Plain,9.0.1
Plugins,GHC.Driver.Plugins,9.0.1
PPC.CodeGen,GHC.CmmToAsm.PPC.CodeGen,9.0.1
PPC.Cond,GHC.CmmToAsm.PPC.Cond,9.0.1
PPC.Instr,GHC.CmmToAsm.PPC.Instr,9.0.1
PPC.Ppr,GHC.CmmToAsm.PPC.Ppr,9.0.1
PPC.RegInfo,GHC.CmmToAsm.PPC.RegInfo,9.0.1
PPC.Regs,GHC.CmmToAsm.PPC.Regs,9.0.1
PprBase,GHC.CmmToAsm.Ppr,9.0.1
PprC,GHC.CmmToC,9.0.1
PprCmm,GHC.Cmm.Ppr,9.0.1
PprCmmDecl,GHC.Cmm.Ppr.Decl,9.0.1
PprCmmExpr,GHC.Cmm.Ppr.Expr,9.0.1
PprColour,GHC.Utils.Ppr.Colour,9.0.1
PprCore,GHC.Core.Ppr,9.0.1
PprTyThing,GHC.Core.Ppr.TyThing,9.0.1
Predicate,GHC.Core.Predicate,9.0.1
PrelInfo,GHC.Builtin.Utils,9.0.1
PrelNames,GHC.Builtin.Names,9.0.1
Pretty,GHC.Utils.Ppr,9.0.1
PrimOp,GHC.Builtin.PrimOps,9.0.1
RdrHsSyn,GHC.Parser.PostProcess,9.0.1
RdrName,GHC.Types.Name.Reader,9.0.1
Reg,GHC.Platform.Reg,9.0.1
RegAlloc.Graph.ArchBase,GHC.CmmToAsm.Reg.Graph.Base,9.0.1
RegAlloc.Graph.ArchX86,GHC.CmmToAsm.Reg.Graph.X86,9.0.1
RegAlloc.Graph.Coalesce,GHC.CmmToAsm.Reg.Graph.Coalesce,9.0.1
RegAlloc.Graph.Main,GHC.CmmToAsm.Reg.Graph,9.0.1
RegAlloc.Graph.Spill,GHC.CmmToAsm.Reg.Graph.Spill,9.0.1
RegAlloc.Graph.SpillClean,GHC.CmmToAsm.Reg.Graph.SpillClean,9.0.1
RegAlloc.Graph.SpillCost,GHC.CmmToAsm.Reg.Graph.SpillCost,9.0.1
RegAlloc.Graph.Stats,GHC.CmmToAsm.Reg.Graph.Stats,9.0.1
RegAlloc.Graph.TrivColorable,GHC.CmmToAsm.Reg.Graph.TrivColorable,9.0.1
RegAlloc.Linear.Base,GHC.CmmToAsm.Reg.Linear.Base,9.0.1
RegAlloc.Linear.FreeRegs,GHC.CmmToAsm.Reg.Linear.FreeRegs,9.0.1
RegAlloc.Linear.JoinToTargets,GHC.CmmToAsm.Reg.Linear.JoinToTargets,9.0.1
RegAlloc.Linear.Main,GHC.CmmToAsm.Reg.Linear,9.0.1
RegAlloc.Linear.PPC.FreeRegs,GHC.CmmToAsm.Reg.Linear.PPC,9.0.1
RegAlloc.Linear.SPARC.FreeRegs,GHC.CmmToAsm.Reg.Linear.SPARC,9.0.1
RegAlloc.Linear.StackMap,GHC.CmmToAsm.Reg.Linear.StackMap,9.0.1
RegAlloc.Linear.State,GHC.CmmToAsm.Reg.Linear.State,9.0.1
RegAlloc.Linear.Stats,GHC.CmmToAsm.Reg.Linear.Stats,9.0.1
RegAlloc.Linear.X86.FreeRegs,GHC.CmmToAsm.Reg.Linear.X86,9.0.1
RegAlloc.Linear.X86_64.FreeRegs,GHC.CmmToAsm.Reg.Linear.X86_64,9.0.1
RegAlloc.Liveness,GHC.CmmToAsm.Reg.Liveness,9.0.1
RegClass,GHC.Platform.Reg.Class,9.0.1
RepType,GHC.Types.RepType,9.0.1
RnBinds,GHC.Rename.Bind,9.0.1
RnEnv,GHC.Rename.Env,9.0.1
RnExpr,GHC.Rename.Expr,9.0.1
RnFixity,GHC.Rename.Fixity,9.0.1
RnHsDoc,GHC.Rename.Doc,9.0.1
RnModIface,GHC.Iface.Rename,9.0.1
RnNames,GHC.Rename.Names,9.0.1
RnPat,GHC.Rename.Pat,9.0.1
RnSource,GHC.Rename.Module,9.0.1
RnSplice,GHC.Rename.Splice,9.0.1
RnTypes,GHC.Rename.HsType,9.0.1
RnUnbound,GHC.Rename.Unbound,9.0.1
RnUtils,GHC.Rename.Utils,9.0.1
RtClosureInspect,GHC.Runtime.Heap.Inspect,9.0.1
Rules,GHC.Core.Rules,9.0.1
Settings,GHC.Settings,9.0.1
SimplStg,GHC.Stg.Pipeline,9.0.1
SMRep,GHC.Runtime.Heap.Layout,9.0.1
SPARC.AddrMode,GHC.CmmToAsm.SPARC.AddrMode,9.0.1
SPARC.Base,GHC.CmmToAsm.SPARC.Base,9.0.1
SPARC.CodeGen,GHC.CmmToAsm.SPARC.CodeGen,9.0.1
SPARC.CodeGen.Amode,GHC.CmmToAsm.SPARC.CodeGen.Amode,9.0.1
SPARC.CodeGen.Base,GHC.CmmToAsm.SPARC.CodeGen.Base,9.0.1
SPARC.CodeGen.CondCode,GHC.CmmToAsm.SPARC.CodeGen.CondCode,9.0.1
SPARC.CodeGen.Expand,GHC.CmmToAsm.SPARC.CodeGen.Expand,9.0.1
SPARC.CodeGen.Gen32,GHC.CmmToAsm.SPARC.CodeGen.Gen32,9.0.1
SPARC.CodeGen.Gen64,GHC.CmmToAsm.SPARC.CodeGen.Gen64,9.0.1
SPARC.CodeGen.Sanity,GHC.CmmToAsm.SPARC.CodeGen.Sanity,9.0.1
SPARC.Cond,GHC.CmmToAsm.SPARC.Cond,9.0.1
SPARC.Imm,GHC.CmmToAsm.SPARC.Imm,9.0.1
SPARC.Instr,GHC.CmmToAsm.SPARC.Instr,9.0.1
SPARC.Ppr,GHC.CmmToAsm.SPARC.Ppr,9.0.1
SPARC.Regs,GHC.CmmToAsm.SPARC.Regs,9.0.1
SPARC.ShortcutJump,GHC.CmmToAsm.SPARC.ShortcutJump,9.0.1
SPARC.Stack,GHC.CmmToAsm.SPARC.Stack,9.0.1
SrcLoc,GHC.Types.SrcLoc,9.0.1
State,GHC.Utils.Monad.State,9.0.1
StgCse,GHC.Stg.CSE,9.0.1
StgFVs,GHC.Stg.FVs,9.0.1
StgLiftLams,GHC.Stg.Lift,9.0.1
StgLiftLams.Analysis,GHC.Stg.Lift.Analysis,9.0.1
StgLiftLams.LiftM,GHC.Stg.Lift.Monad,9.0.1
StgLint,GHC.Stg.Lint,9.0.1
StgStats,GHC.Stg.Stats,9.0.1
StgSubst,GHC.Stg.Subst,9.0.1
StgSyn,GHC.Stg.Syntax,9.0.1
Stream,GHC.Data.Stream,9.0.1
StringBuffer,GHC.Data.StringBuffer,9.0.1
SysTools,GHC.SysTools,9.0.1
SysTools.BaseDir,GHC.SysTools.BaseDir,9.0.1
SysTools.ExtraObj,GHC.SysTools.ExtraObj,9.0.1
SysTools.Info,GHC.SysTools.Info,9.0.1
SysTools.Process,GHC.SysTools.Process,9.0.1
SysTools.Settings,GHC.Settings.IO,9.0.1
SysTools.Tasks,GHC.SysTools.Tasks,9.0.1
SysTools.Terminal,GHC.SysTools.Terminal,9.0.1
TargetReg,GHC.CmmToAsm.Reg.Target,9.0.1
TcEnv,GHC.Tc.Utils.Env,9.0.1
TcHsSyn,GHC.Tc.Utils.Zonk,9.0.1
TcIface,GHC.IfaceToCore,9.0.1
TcRnMonad,GHC.Tc.Utils.Monad,9.0.1
TcRnTypes,GHC.Tc.Types,9.0.1
TcTypeNats,GHC.Builtin.Types.Literals,9.0.1
THNames,GHC.Builtin.Names.TH,9.0.1
TidyPgm,GHC.Iface.Tidy,9.0.1
ToIface,GHC.CoreToIface,9.0.1
ToolSettings,GHC.Settings,9.0.1
TrieMap,GHC.Data.TrieMap,9.0.1
TyCoFVs,GHC.Core.TyCo.FVs,9.0.1
TyCon,GHC.Core.TyCon,9.0.1
TyCoPpr,GHC.Core.TyCo.Ppr,9.0.1
TyCoRep,GHC.Core.TyCo.Rep,9.0.1
TyCoSubst,GHC.Core.TyCo.Subst,9.0.1
TyCoTidy,GHC.Core.TyCo.Tidy,9.0.1
Type,GHC.Core.Type,9.0.1
TysPrims,GHC.Builtin.Types.Prim,9.0.1
TysWiredIn,GHC.Builtin.Types,9.0.1
UnariseStg,GHC.Stg.Unarise,9.0.1
Unify,GHC.Core.Unify,9.0.1
UniqDFM,GHC.Types.Unique.DFM,9.0.1
UniqDSet,GHC.Types.Unique.DSet,9.0.1
UniqFM,GHC.Types.Unique.FM,9.0.1
UniqSet,GHC.Types.Unique.Set,9.0.1
UniqSupply,GHC.Types.Unique.Supply,9.0.1
Unique,GHC.Types.Unique,9.0.1
UnVarGraph,GHC.Data.Graph.UnVar,9.0.1
Util,GHC.Utils.Misc,9.0.1
Var,GHC.Types.Var,9.0.1
VarEnv,GHC.Types.Var.Env,9.0.1
VarSet,GHC.Types.Var.Set,9.0.1
X86.CodeGen,GHC.CmmToAsm.X86.CodeGen,9.0.1
X86.Cond,GHC.CmmToAsm.X86.Cond,9.0.1
X86.Instr,GHC.CmmToAsm.X86.Instr,9.0.1
X86.Ppr,GHC.CmmToAsm.X86.Ppr,9.0.1
X86.RegInfo,GHC.CmmToAsm.X86.RegInfo,9.0.1
X86.Regs,GHC.CmmToAsm.X86.Regs,9.0.1
GHC.HsToCore.PmCheck,GHC.HsToCore.Pmc,9.1.1
GHC.HsToCore.PmCheck.Ppr,GHC.HsToCore.Pmc.Ppr,9.1.1
GHC.HsToCore.PmCheck.Types,GHC.HsToCore.Pmc.Types,9.1.1
GHC.Cmm.Monad,GHC.Cmm.Parser.Monad,9.2.1
GHC.Core.Ppr.TyThing,GHC.Types.TyThing.Ppr,9.2.1
GHC.CoreToByteCode,GHC.StgToByteCode,9.2.1
GHC.Driver.Finder,GHC.Unit.Finder,9.2.1
GHC.Runtime.Linker,GHC.Linker,9.2.1
GHC.Runtime.Linker.Types,GHC.Linker.Types,9.2.1
GHC.SysTools.ExtraObj,GHC.Linker.ExtraObj,9.2.1
GHC.SysTools.FileCleanup,GHC.Utils.TmpFs,9.2.1
